rebalance_date,num_buys,num_sells,turnover,transaction_cost,regime_state,equity_exposure,vol_scale,loss_protection_scale,is_oos
2015-01-30,25,0,0.5000000000000001,0.0007500000000000002,Risk-On,1.0,1.0,1.0,False
2015-02-27,9,9,0.36,0.0009,Risk-On,1.0,1.0,1.0,False
2015-03-31,6,6,0.24000000000000002,0.0006000000000000001,Risk-On,1.0,1.0,1.0,False
2015-04-30,8,8,0.32,0.0008,Risk-On,1.0,1.0,1.0,False
2015-05-29,6,6,0.4150103728833769,0.0013740843415995516,Risk-On,0.32688318121778165,0.6537663624355633,0.5,False
2015-06-30,7,7,0.09289975954703031,0.00023087693006152435,Risk-On,0.3296281188298845,0.659256237659769,0.5,False
2015-07-31,7,7,0.11914795947586866,0.00027101781248617065,Risk-On,0.38333229123688645,0.7666645824737729,0.5,False
2015-08-31,6,6,0.13824176167790703,0.00029936239241371335,Risk-On,0.475816314798995,0.95163262959799,0.5,False
2015-09-30,5,5,0.11403367650440102,0.00026621377771640056,Risk-On,0.5135571418881991,1.0271142837763982,0.5,False
2015-10-30,5,5,0.4272243746249134,0.0007435479903150099,Risk-On,1.1625830343827461,1.1625830343827461,1.0,False
2015-11-30,3,3,0.2148449033959953,0.0006362371785821801,Risk-On,0.9643331941983624,0.9643331941983624,1.0,False
2015-12-31,6,6,0.26013112469687166,0.0007055031157599957,Risk-On,0.8539825861627294,0.8539825861627294,1.0,False
2016-01-29,12,12,0.42043175378874054,0.0013140821952376156,Risk-On,0.3279769646312007,0.6559539292624014,0.5,False
2016-02-29,5,5,0.08098543470370528,0.00018707354498179808,Risk-On,0.35875704818613097,0.7175140963722619,0.5,False
2016-03-31,5,5,0.30140143820440835,0.0005238535669438388,Risk-On,0.8180571053204954,0.8180571053204954,1.0,False
2016-04-29,12,12,0.3940285526602478,0.0010190999343108673,Risk-On,0.75,1.5,0.5,False
2016-05-31,3,3,0.09,0.000225,Risk-On,0.75,1.5,0.5,False
2016-06-30,3,3,0.10374449069516134,0.0002774460829157472,Risk-On,0.7138302876443123,1.4276605752886247,0.5,False
2016-07-29,2,2,0.450191279189389,0.0007323933417956285,Risk-On,1.5,1.5,1.0,False
2016-08-31,10,10,0.6300224652384429,0.0017251684892883217,Risk-On,1.1997753476155706,1.1997753476155706,1.0,False
2016-09-30,2,2,0.35035337826383506,0.0011787064819150513,Risk-On,0.5941292751046433,1.1882585502092866,0.5,False
2016-10-31,5,5,0.4430054771541262,0.0007833340707521179,Risk-On,1.2424885193710384,1.2424885193710384,1.0,False
2016-11-30,4,4,0.32755390341384677,0.0006901290182201364,Risk-On,1.5,1.5,1.0,False
2016-12-30,3,3,0.46500000000000014,0.0015375000000000007,Risk-On,0.75,1.5,0.5,False
2017-01-26,13,13,0.3900000000000001,0.0009750000000000004,Risk-Off,0.75,1.5,1.0,False
2017-02-28,6,6,0.18,0.00045,Risk-Off,0.75,1.5,1.0,False
2017-03-31,5,5,0.15,0.000375,Risk-Off,0.75,1.5,1.0,False
2017-04-28,5,5,0.15,0.000375,Risk-Off,0.75,1.5,1.0,False
2017-05-31,8,8,0.24,0.0006000000000000001,Risk-Off,0.75,1.5,1.0,False
2017-06-30,6,6,0.18,0.00045,Risk-Off,0.75,1.5,1.0,False
2017-07-31,9,9,0.27,0.000675,Risk-Off,0.75,1.5,1.0,False
2017-08-31,5,5,0.26250000000000007,0.0008437500000000003,Risk-Off,0.375,1.5,0.5,False
2017-09-29,5,5,0.26250000000000007,0.0004687500000000001,Risk-Off,0.75,1.5,1.0,False
2017-10-31,9,9,0.27,0.000675,Risk-Off,0.75,1.5,1.0,False
2017-11-30,7,7,0.21,0.000525,Risk-Off,0.75,1.5,1.0,False
2017-12-29,6,6,0.2775000000000001,0.0008812500000000003,Risk-Off,0.375,1.5,0.5,False
2018-01-31,19,19,0.47250000000000025,0.0009937500000000007,Risk-Off,0.75,1.5,1.0,False
2018-02-28,3,3,0.23250000000000007,0.0007687500000000003,Risk-Off,0.375,1.5,0.5,False
2018-03-30,4,4,0.06,0.00015000000000000001,Risk-Off,0.375,1.5,0.5,False
2018-04-27,10,10,0.15000000000000002,0.00037500000000000006,Risk-Off,0.375,1.5,0.5,False
2018-05-31,9,9,0.3225000000000001,0.0006187500000000002,Risk-Off,0.75,1.5,1.0,False
2018-06-29,2,2,0.21750000000000014,0.0007312500000000005,Risk-Off,0.375,1.5,0.5,False
2018-07-31,14,14,0.7725,0.0013687500000000002,Risk-On,1.5,1.5,1.0,False
2018-08-31,5,5,0.5925074277887773,0.0019687809491199053,Risk-On,0.5249752407040755,1.049950481408151,0.5,False
2018-09-28,2,2,0.34248661005853964,0.0005557279343441355,Risk-On,1.1259524223085027,1.1259524223085027,1.0,False
2018-10-31,5,5,0.45454328483566286,0.0015186128793790944,Risk-On,0.3614430877286283,0.7228861754572566,0.5,False
2018-11-30,2,2,0.07035682140311691,0.00013445067912296564,Risk-On,0.4443258364982816,0.8886516729965632,0.5,False
2018-12-28,3,3,0.05599049111752635,0.0001373048370560833,Risk-On,0.4496686179737468,0.8993372359474936,0.5,False
2019-01-31,7,7,0.6510729040457759,0.001102516569101313,Risk-On,1.5,1.5,1.0,False
2019-02-28,7,7,0.5485324956816607,0.0016634505475715627,Risk-On,0.9157613832651784,0.9157613832651784,1.0,False
2019-03-29,4,4,0.18406217127377694,0.0005153618251717194,Risk-On,0.8053485892906245,0.8053485892906245,1.0,False
2019-04-30,5,5,0.17411642705731367,0.00045703558297526545,Risk-On,0.7618595586266618,0.7618595586266618,1.0,False
2019-05-31,4,4,0.19438399051248703,0.0005925577132403664,Risk-On,0.5486640847083641,1.0973281694167283,0.5,False
2019-06-28,5,5,0.5475124011504557,0.0009310014186673564,Risk-On,1.4242232531259293,1.4242232531259293,1.0,False
2019-07-31,4,4,0.46732069334063653,0.0015204266934111322,Risk-On,0.7199733330068473,1.4399466660136946,0.5,False
2019-08-30,6,6,0.17423875076040712,0.00043415172606225407,Risk-On,0.7228636346843749,1.4457272693687497,0.5,False
2019-09-30,4,4,0.5042263642073127,0.000871997727860469,Risk-On,1.5,1.5,1.0,False
2019-10-31,5,5,0.5250000000000002,0.001687500000000001,Risk-On,0.75,1.5,0.5,False
2019-11-29,6,6,0.18,0.00045,Risk-On,0.75,1.5,0.5,False
2019-12-31,3,3,0.46500000000000014,0.0007875000000000002,Risk-On,1.5,1.5,1.0,False
2020-01-23,24,24,1.090832232297264,0.0031066107630287436,Risk-On,0.7409396354288335,1.481879270857667,0.5,True
2020-02-28,2,2,0.16352007469159754,0.000304555282871703,Risk-On,0.9494294431434152,0.9494294431434152,1.0,True
2020-03-31,3,3,0.34772822882680304,0.0011769478031848936,Risk-On,0.3341749809076434,0.6683499618152868,0.5,True
2020-04-30,14,14,0.41872619793549476,0.0008152272862115225,Risk-On,0.7973513981620722,0.7973513981620722,1.0,True
2020-05-29,3,3,0.22118452120505067,0.0007180959785726294,Risk-On,0.4670820470420668,0.9341640940841336,0.5,True
2020-06-30,2,2,0.5538255402423323,0.0008681048741268639,Risk-On,1.5,1.5,1.0,True
2020-07-31,5,5,0.5599651061760154,0.0018331879424000642,Risk-On,0.633449646079948,0.633449646079948,1.0,True
2020-08-31,17,17,0.42979396047234797,0.0010771287869086937,Risk-On,0.6281618746243006,0.6281618746243006,1.0,True
2020-09-30,4,4,0.19209101323097108,0.0006149115232113732,Risk-On,0.3587938943564096,0.7175877887128193,0.5,True
2020-10-30,7,7,0.6710653432415898,0.0011070603052821795,Risk-On,1.5,1.5,1.0,True
2020-11-30,3,3,0.2960813703023205,0.0008929420708904334,Risk-On,1.1945227097307354,1.1945227097307354,1.0,True
2020-12-31,5,5,0.2730545871932355,0.0007395532100615694,Risk-On,1.080689225573774,1.080689225573774,1.0,True
2021-01-29,5,5,0.23367785080114395,0.0006134279698135085,Risk-On,1.0222225399524765,1.0222225399524765,1.0,True
2021-02-26,2,2,0.3059668638983262,0.0010318088986769204,Risk-On,0.4884390620902667,0.9768781241805334,0.5,True
2021-03-31,3,3,0.07566780411358283,0.00017211439362120625,Risk-On,0.5225492954157683,1.0450985908315367,0.5,True
2021-04-30,15,15,0.676037931713005,0.0013275864748189684,Risk-On,1.247566004342856,1.247566004342856,1.0,True
2021-05-31,3,3,0.16091691184231816,0.00041704095239681574,Risk-On,1.2180686587608156,1.2180686587608156,1.0,True
2021-06-30,3,3,0.3985433388137342,0.0013284308467217518,Risk-On,0.5539236593859833,1.1078473187719666,0.5,True
2021-07-30,2,2,0.2962525013595728,0.0004886926447902379,Risk-On,1.0578008766033715,1.0578008766033715,1.0,True
2021-08-31,11,11,0.48304638618519763,0.00119000196498328,Risk-On,1.0930288775628,1.0930288775628,1.0,True
2021-09-30,2,2,0.34882459226850426,0.0011832308640801659,Risk-On,0.4706901107449899,0.9413802214899798,0.5,True
2021-10-29,6,6,0.11821309903035972,0.00029028527512433715,Risk-On,0.48118505564811415,0.9623701112962283,0.5,True
2021-11-30,4,4,0.14349995403870514,0.000292239539961756,Risk-On,0.6142057459181279,1.2284114918362559,0.5,True
2021-12-31,2,2,0.49203358671438646,0.00078718683974503,Risk-On,1.5,1.5,1.0,True
2022-01-28,21,21,0.9375306662201797,0.0028180462740501856,Risk-On,0.551560783000528,1.103121566001056,0.5,True
2022-02-28,4,4,0.35204635795705647,0.0006163192622156693,Risk-On,1.0791540483544722,1.0791540483544722,1.0,True
2022-03-31,6,6,0.32489344039787593,0.0009389575794423871,Risk-On,0.8257060914590774,0.8257060914590774,1.0,True
2022-04-29,5,5,0.2740669092998222,0.0008667100915962333,Risk-On,0.46262045476572133,0.9252409095314427,0.5,True
2022-05-31,2,2,0.05470410264597875,0.00011906579035022583,Risk-On,0.4980093872951634,0.9960187745903268,0.5,True
2022-06-30,6,6,0.6205175593032575,0.0010502985919057252,Risk-On,1.5,1.5,1.0,True
2022-07-29,8,8,0.6150000000000002,0.0019125000000000008,Risk-On,0.75,1.5,0.5,True
2022-08-31,6,6,0.18,0.00045,Risk-On,0.75,1.5,0.5,True
2022-09-30,4,4,0.12685049839100343,0.00032720050831721946,Risk-On,0.7298514753205781,1.4597029506411563,0.5,True
2022-10-31,4,4,0.12685049839100343,0.00030705198363779765,Risk-On,0.75,1.5,0.5,True
2022-11-30,8,8,0.6150000000000002,0.0011625000000000003,Risk-On,1.5,1.5,1.0,True
2022-12-30,5,5,0.5729397443946304,0.0018872489349776264,Risk-On,0.590200852017899,1.180401704035798,0.5,True
2023-01-31,9,9,0.5391205158983375,0.00102115308057395,Risk-On,1.2434972703616864,1.2434972703616864,1.0,True
2023-02-28,6,6,0.3134718000909703,0.0007686470450232602,Risk-On,1.2735621807700175,1.2735621807700175,1.0,True
2023-03-31,11,11,0.673586269153799,0.0015707467632695064,Risk-On,1.5,1.5,1.0,True
2023-04-28,5,5,0.36199800300246676,0.0010083250125102784,Risk-On,1.2933399899917772,1.2933399899917772,1.0,True
2023-05-31,5,5,0.4911769291157523,0.0016154572079850422,Risk-On,0.5183102196004541,1.0366204392009082,0.5,True
2023-06-30,6,6,0.16162966271900164,0.0003668389467826115,Risk-On,0.5927806396302394,1.1855612792604788,0.5,True
2023-07-31,11,11,0.64019199070079,0.0012211114674884904,Risk-On,1.3515176581572086,1.3515176581572086,1.0,True
2023-08-31,8,8,0.5407588290786042,0.0016526559017751147,Risk-On,0.75,1.5,0.5,True
2023-09-28,5,5,0.5250000000000001,0.0009375000000000002,Risk-On,1.5,1.5,1.0,True
2023-10-31,6,6,0.5731615844888871,0.0018428300852393084,Risk-On,0.6801477519658184,1.360295503931637,0.5,True
2023-11-30,6,6,0.19816158448888718,0.0004604778372051272,Risk-On,0.75,1.5,0.5,True
2023-12-29,3,3,0.09,0.000225,Risk-On,0.75,1.5,0.5,True
2024-01-31,7,7,0.5850000000000002,0.0010875000000000004,Risk-On,1.5,1.5,1.0,True
2024-02-29,3,3,0.25887270855373434,0.0007509616510603021,Risk-On,1.2924402406480675,1.2924402406480675,1.0,True
2024-03-29,2,2,0.392604222565063,0.0013258069889283929,Risk-On,0.6038473756165967,1.2076947512331935,0.5,True
2024-04-30,2,2,0.40812637106350813,0.0006604973466445899,Risk-On,1.3234845376449575,1.3234845376449575,1.0,True
2024-05-31,3,3,0.24707587569491613,0.0005294319580597691,Risk-On,1.5,1.5,1.0,True
2024-06-28,2,2,0.43500000000000016,0.0014625000000000007,Risk-On,0.75,1.5,0.5,True
2024-07-31,4,4,0.12,0.00030000000000000003,Risk-On,0.75,1.5,0.5,True
2024-08-30,6,6,0.18,0.00045,Risk-On,0.75,1.5,0.5,True
2024-09-30,7,7,0.4220981987877468,0.0008431472981816203,Risk-On,1.1741963975754934,1.1741963975754934,1.0,True
2024-10-31,2,2,0.4362876989433928,0.001498281136807712,Risk-On,0.3590726186770336,0.7181452373540672,0.5,True
2024-11-29,4,4,0.23927500430375237,0.0004163641254439539,Risk-On,0.7227193893078875,0.7227193893078875,1.0,True
